indicator,atr_band,trades,win_rate_pct,net_usd,avg_usd,top_exit,top_exit_pct
CCI,0.10-0.12,323,68.73,267.52,0.83,STOP_TRAILING,44.27
CCI,0.12-0.20,246,60.57,124.41,0.51,STOP_TRAILING,58.54
MACD,0.20+,19,84.21,174.26,9.17,STOP_TRAILING,63.16
MA_CROSS,0.05-0.08,98,68.37,21.13,0.22,STOP_TRAILING,45.92
MA_CROSS,0.08-0.10,1,0.0,-13.71,-13.71,STOP_LOSS,100.0
MA_CROSS,0.12-0.20,34,82.35,305.26,8.98,STOP_TRAILING,70.59
MA_CROSS,0.20+,5,100.0,224.27,44.85,STOP_TRAILING,100.0
RSI,0.00-0.05,120,77.5,124.88,1.04,STOP_BREAKEVEN,41.67
RSI,0.08-0.10,169,69.23,81.89,0.48,STOP_TRAILING,44.38
RSI,0.10-0.12,1,100.0,16.89,16.89,STOP_TRAILING,100.0
STOCH,0.05-0.08,574,57.49,125.49,0.22,STOP_TRAILING,57.14
STOCH,0.08-0.10,1,0.0,-11.79,-11.79,STOP_LOSS,100.0
