indicator,atr_band,trades,win_rate_pct,net_usd,avg_usd,top_exit,top_exit_pct
CCI,0.10-0.12,297,60.61,-63.93,-0.22,STOP_TRAILING,41.08
CCI,0.12-0.20,244,54.51,27.13,0.11,STOP_TRAILING,54.1
MACD,0.20+,18,72.22,224.75,12.49,STOP_TRAILING,66.67
MA_CROSS,0.05-0.08,95,69.47,68.46,0.72,STOP_TRAILING,50.53
MA_CROSS,0.08-0.10,1,0.0,-13.71,-13.71,STOP_LOSS,100.0
MA_CROSS,0.12-0.20,34,79.41,358.82,10.55,STOP_TRAILING,67.65
MA_CROSS,0.20+,5,100.0,230.66,46.13,STOP_TRAILING,100.0
RSI,0.00-0.05,114,75.44,140.65,1.23,STOP_BREAKEVEN,42.98
RSI,0.08-0.10,165,66.06,20.67,0.13,STOP_TRAILING,40.61
RSI,0.10-0.12,1,100.0,16.82,16.82,STOP_TRAILING,100.0
RSI,0.20+,18,66.67,208.53,11.59,STOP_TRAILING,66.67
STOCH,0.05-0.08,466,55.15,212.05,0.46,STOP_TRAILING,54.94
STOCH,0.08-0.10,234,54.7,24.18,0.1,STOP_TRAILING,54.7
STOCH,0.12-0.20,158,47.47,-650.3,-4.12,STOP_LOSS,52.53
STOCH,0.20+,18,66.67,176.59,9.81,STOP_TRAILING,66.67
